Date_Time                    ,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),Charge_Time(s),Discharge_Time(s),V_Max_On_Cycle(V),Coulombic_Efficiency(%),mAh/g,Aux_Temperature_1(C),Aux_dT/dt_1(C),Aux_Temperature_2(C),Aux_dT/dt_2(C),Aux_Temperature_3(C),Aux_dT/dt_3(C)
2021/12/23 15:25:48,1303897.7399,300.0047,74,30,3,1,6,3,0,4.188075,0,12.33203,12.46857,47.95663,41.46062,6469.021,861.2518,,101.11,271.05587,29.81504,-0.006879568,29.6701,-0.03880024,29.73676,-0.003492236,
2021/12/23 18:36:00,1315309.4202,300.0031,75,30,4,1,6,3,0,4.188024,0,14.68723,14.84729,57.148,49.12473,6463.701,862.6552,,101.09,322.767174,30.01081,-0.06233871,29.86636,0.04622936,29.96134,0.03299713,
2021/12/23 21:46:10,1326719.1143,300.0032,76,30,5,1,6,3,0,4.188223,0,17.04362,17.22552,66.34386,56.78659,6462.997,862.1107,,101.07,374.467826,30.14055,0.0610882,30.08111,-0.03284156,30.14086,0.006853342,
2021/12/24 00:54:43,1338033.0312,300.0029,77,30,6,1,6,3,0,4.188095,0,19.36259,19.56654,75.40626,64.34177,6380.31,848.9686,,101.05,425.359565,29.97462,-0.1048774,30.28882,-0.02227306,30.29925,-0.01345932,
2021/12/24 04:03:23,1349352.5748,300.0028,78,30,7,1,6,3,0,4.18821,0,21.68132,21.90744,84.46783,71.89664,6384.104,850.0463,,101.04,476.248696,30.16159,0.06505787,30.26448,0.06441236,30.17607,0.04679561,
2021/12/24 07:13:36,1360765.7192,300.0039,79,30,8,1,6,3,0,4.188046,0,24.03695,24.28617,93.6607,79.55962,6465.891,862.4734,,101.04,527.960217,29.80519,-0.006859303,29.60372,-0.009535551,29.64209,-0.01174808,
2021/12/24 10:23:48,1372177.3426,300.0023,80,30,9,1,6,3,0,4.187915,0,26.39221,26.66488,102.8515,87.22112,6463.239,863.3938,,101.03,579.671304,29.9495,0.06718874,29.85712,0.06760836,29.85322,0.03672779,
2021/12/27 03:10:53,1605402.1112,300.004,81,30,0,1,6,0,0,4.18781,0,7.856517,8.462276,30.14118,30.06024,93369.4,100297.2,,107.71,183.962522,30.0872,0.07242024,30.17584,0.05483568,30.10856,0.01294017,
2021/12/27 06:21:06,1616815.1311,300.0032,82,30,1,1,6,0,0,4.187906,0,10.21457,10.84293,39.34463,37.72647,6467.171,862.5906,,106.15,235.71587,29.90236,0.06144524,29.58813,-0.02081275,29.68303,-0.04289627,
2021/12/27 09:31:23,1628232.6234,300.003,83,30,2,1,6,0,0,4.188313,0,12.57189,13.22306,48.54434,45.39008,6470.345,863.8635,,105.18,287.457826,29.69,-0.04183412,29.82726,0.02510011,29.89399,0.02069354,
